U-Net,SegNet,FCN,Thresh,F1,IoU,Accuracy,Precision,Recall
0.0,0.30000000000000004,0.7,0.3,0.7705303193416689,0.6267176265302267,0.8953064797629773,0.7344496345534193,0.8103391658716226
0.7000000000000001,0.30000000000000004,-1.1102230246251565e-16,0.38999999999999996,0.770184547462255,0.6262602626156674,0.898375927562445,0.7558758700485093,0.7850454031181247
0.9,0.0,0.09999999999999998,0.38,0.7674102829291499,0.6225999398755647,0.895620950510804,0.7426836272519526,0.7938401267050512
0.2,0.8,0.0,0.32999999999999996,0.7666868273612004,0.6216481305645125,0.8961345242782378,0.7476283369592471,0.786742412115771
0.8,0.2,-5.551115123125783e-17,0.38999999999999996,0.7665142922093495,0.6214213007725676,0.8963392418874822,0.7493941414247778,0.7844349628809856
0.0,0.9,0.09999999999999998,0.31,0.7660362314377667,0.6207931316653328,0.8950851467293752,0.7418885780470855,0.7918087316980164
0.9,0.1,-2.7755575615628914e-17,0.38999999999999996,0.7626190544967398,0.6163171156592869,0.8942131794674296,0.7429244450619704,0.7833862912015424
0.1,0.9,0.0,0.35,0.7610946642068436,0.6143283453748983,0.895414755377971,0.7543045002291333,0.7680081882464431
0.2,0.0,0.8,0.32,0.7594752706957407,0.6122209848462129,0.8916209449230785,0.7322293384204231,0.7888271850376378
0.1,0.1,0.8,0.32,0.7591433334900398,0.6117897052768865,0.8918017669462822,0.7339897883321755,0.7860820616705639
0.0,0.2,0.8,0.31,0.7588819783644072,0.6114502939606927,0.8913155139332086,0.7314193430354003,0.7884873497747631
1.0,0.0,0.0,0.39999999999999997,0.7582934366958834,0.6106865018760671,0.8925097022258061,0.7401746175159868,0.7773215816879322
0.0,1.0,0.0,0.33999999999999997,0.7561938488155253,0.6079676072507549,0.8929582515233,0.7473143413251084,0.765286905363372
0.1,0.0,0.9,0.33999999999999997,0.7500090717633868,0.6000116125810704,0.8889620069047095,0.7329460211268833,0.7678855181196657
0.0,0.1,0.9,0.33999999999999997,0.7495585581972105,0.5994351546090115,0.889003874550403,0.7340331379817714,0.7657549219298456
0.0,0.0,1.0,0.36,0.7415573680857729,0.5892659308214104,0.8864654890248473,0.7324295643003782,0.7509155519898723
