lake,year,month,area_m2,temp_C,source,region,hemisphere,pet_mm,precip_mm,snow_cover_pct,snow_depth_cm
Namtso,2013,7,1258139.864,7.117358484,Landsat-7/8/9,Tibetan Plateau,north,-3.679112444,6.996787621,306.0284592,0.320888638
Namtso,2013,8,36798394.01,6.379754237,Landsat-7/8/9,Tibetan Plateau,north,-4.264936588,3.83973114,240.2515401,0.24681173
Namtso,2014,6,34474157.73,5.276873778,Landsat-7/8/9,Tibetan Plateau,north,-3.950408847,3.04605016,836.6532395,0.959681035
Namtso,2014,7,10365176.12,6.712844754,Landsat-7/8/9,Tibetan Plateau,north,-3.423051077,6.348739141,309.2343164,0.317022776
Namtso,2014,8,18781789.62,6.058085803,Landsat-7/8/9,Tibetan Plateau,north,-3.540557349,6.85813098,444.8789925,0.466485997
Namtso,2015,6,243539.9569,5.128010319,Landsat-7/8/9,Tibetan Plateau,north,-4.003225186,3.168999376,684.9246966,0.721560453
Namtso,2015,7,97055.98987,6.463025164,Landsat-7/8/9,Tibetan Plateau,north,-4.764435048,2.743492776,478.8757817,0.512132128
Namtso,2015,8,162453882.3,6.306779762,Landsat-7/8/9,Tibetan Plateau,north,-3.850189513,5.608962481,516.3632549,0.532823136
Namtso,2016,6,1169131.974,4.195162347,Landsat-7/8/9,Tibetan Plateau,north,-2.778118775,5.268689805,1430.033549,1.549657374
Namtso,2016,7,2264334.541,7.101380119,Landsat-7/8/9,Tibetan Plateau,north,-3.79781744,5.84312761,252.3132616,0.266094777
Namtso,2016,8,54950071.39,6.729251347,Landsat-7/8/9,Tibetan Plateau,north,-4.126922492,3.471341495,154.2767613,0.158244881
Namtso,2017,6,1990701883,4.236722521,Landsat-7/8/9,Tibetan Plateau,north,-3.52711868,4.652893577,985.7513352,1.031555488
Namtso,2017,7,13737246.11,6.867619252,Landsat-7/8/9,Tibetan Plateau,north,-3.905658509,5.797100827,325.2001559,0.33434071
Namtso,2017,8,524814.7544,6.970290567,Landsat-7/8/9,Tibetan Plateau,north,-3.817687024,5.82618994,157.8096117,0.157709856
Namtso,2018,6,146136833,4.959434076,Landsat-7/8/9,Tibetan Plateau,north,-3.506057685,3.839860271,1266.479343,1.501454787
Namtso,2018,7,170742134.1,7.308389779,Landsat-7/8/9,Tibetan Plateau,north,-3.704254204,6.982031365,93.17800937,0.087181012
Namtso,2018,8,36005999.6,6.728260664,Landsat-7/8/9,Tibetan Plateau,north,-3.429784285,6.767614425,272.1627955,0.278915277
Namtso,2019,6,48527.96942,5.891444386,Sentinel-2,Tibetan Plateau,north,-4.392175286,1.813822927,270.5960434,0.33312584
Namtso,2019,7,1065070.74,6.341960833,Sentinel-2,Tibetan Plateau,north,-3.528490097,7.704706379,692.2152167,0.735774836
Namtso,2019,8,181357609.5,6.992280836,Landsat-7/8/9,Tibetan Plateau,north,-3.944441901,4.391122567,187.7248153,0.199459954
Namtso,2020,6,34246852.64,4.129828489,Sentinel-2,Tibetan Plateau,north,-2.893856768,5.627970165,1909.622033,3.763758203
Namtso,2020,7,906570.0132,7.268629186,Sentinel-2,Tibetan Plateau,north,-3.693024228,6.593587203,260.672779,0.276087285
Namtso,2020,8,341060.9633,6.935377954,Sentinel-2,Tibetan Plateau,north,-3.900638902,4.492171802,271.6947165,0.284506898
Namtso,2021,6,164453.5375,5.089746498,Sentinel-2,Tibetan Plateau,north,-3.481622002,4.135386391,839.4506027,0.8839548
